hid,lat,lng,place,tier,airport,landmarks,bar,hospital,food,atm,market_place,bus_station,movie_theatre,train_station,spa_gym,offices,
10238,9.447677612,76.40532684,Alappuzha,3,No,10.34115077,3.130685035,3.560834797,2.073458915,2.187767725,1.926103623,1.192284185,4.098216631,8.809340905,4.293590828,6.465774046,
10239,8.727555275,76.72787476,Varkala,3,No,5.411133296,1.020849704,0.62363712,0.685443268,0.56698203,0.693804581,1.514107879,1.897783484,4.619709592,4.322245738,1.149068393,
10240,27.04788399,71.4393692,Jaisalmer,3,No,12.9330039,0,0,0,0,0,0,0,0,0.000583368,0,
10241,10.51372147,76.21376801,Thrissur,3,No,1.267609887,0.826895457,0.605105945,0.69565699,0.781259546,0.562089234,0.491418783,0.893995069,3.495091209,0.742771575,1.208907462,
10242,8.357517242,77.01266479,Thiruvananthapuram,2,Yes,11.19467351,4.466086227,2.973980963,3.55553174,0,0,2.032679625,4.231540747,9.350258267,4.050058428,6.198333003,
10243,9.597208977,77.17304993,Thekkady,3,No,5.798285865,1.233717948,2.50886138,0.699736319,1.196142835,1.506445876,1.655910955,0,0,2.426047938,1.32155739,
10245,8.739797592,76.70281982,Varkala,3,No,4.780905154,2.440083344,1.478524489,0.63377506,0,1.941534634,1.089426852,2.113995704,4.557808003,0.421423425,2.637244109,
10246,26.30112839,72.86297607,Jodhpur,2,Yes,13.31616992,0,0,4.142442306,0,0.125804451,0,0,0,0,11.58158899,
10247,34.08461761,74.82683563,Srinagar,2,Yes,1.623156441,0.525932017,1.533462183,0.986527032,0,0,0,2.450756547,8.395797838,1.590587649,1.669726901,
10250,25.56000519,91.90479279,Shillong,3,Yes,0.980111268,2.767129652,1.083900491,1.518391155,0.8708286,1.137931042,0.621532177,2.71700608,0,2.287095077,2.789557198,
10251,13.64298439,74.73995972,Kundapur,3,No,1.963160147,0,5.509406289,4.451278313,0,0,1.448802617,0,6.867561514,1.258553507,7.483884105,
10254,26.92344666,70.90394592,Jaisalmer,3,No,1.246152966,1.308555102,0.973715826,0.844855208,1.358833505,1.45621643,1.3656586,1.141934263,2.519609044,1.371494092,1.957493786,
10257,30.83605957,76.98182678,Parwanoo,3,No,9.011567739,0,3.533043921,2.224752955,0,0,2.643398047,0,4.149222777,2.094569436,3.980105605,
10259,8.356739998,77.01383209,Thiruvananthapuram,2,Yes,11.26957444,4.604364924,2.835624272,3.596142877,0,0,2.004166569,4.285470755,9.334546612,4.13938232,6.134356214,
10261,23.11532593,83.19861603,Ambikapur,3,No,0.735652393,1.040296374,0.787655871,0.415920321,1.791906545,0.469583538,1.144178453,1.823562277,6.121194119,0.631242716,1.216609721,
10262,32.25202942,77.18100739,Manali,3,No,0.75008514,0.745317987,1.253482187,0.33095978,1.080837311,0.891454555,1.671791572,0,0,0.98956453,0.571880599,
10265,11.66710186,78.15136719,Salem,2,Yes,1.40334781,1.812969068,0.882227171,0.565281493,0.690377506,0.700631744,0.54831186,1.642502602,5.483799684,0.957430439,0.532483756,
10266,15.57564068,73.74759674,Goa,2,Yes,5.089350391,0.996659921,2.572656821,0.835308275,1.275184912,1.140860377,1.513523507,0,12.72743314,1.063391688,3.83259155,
10267,8.733112335,76.70862579,Varkala,3,No,5.235853578,1.810206503,1.039189672,0.867070252,1.703635058,1.779776093,1.122876604,1.841455449,4.674716858,1.098075216,2.303110355,
10269,28.04012489,73.33881378,Bikaner,3,No,2.685418177,3.749208296,2.192307683,1.496575251,1.296261384,1.336828508,1.485942928,3.627835042,2.96474363,2.974371262,2.387361124,
10271,15.53632927,73.76300812,Goa,2,Yes,3.70974638,0.473953375,0.713266227,0.578090369,0.362193523,0.216199027,2.23622986,0,8.581044501,0.277720512,3.316089381,
10272,32.72524643,74.85785675,Jammu,3,Yes,1.340484169,0,0,0,0,0,0,0,0,0,0,
